context,question,answer,base_prediction,lora_prediction,base_rougeL,lora_rougeL,base_bertscore_f1,lora_bertscore_f1,base_numeric_groundedness,lora_numeric_groundedness,base_numeric_recall,lora_numeric_recall,base_numeric_issue,lora_numeric_issue
"TITLE: the Effect of the Laparoscopic Management of Gastro Esophageal Reflux on Gastric Emptying in Pediatric Age Group
SUMMARY: gastric functions especially gastric emptying is still debatable after anti reflux surgery in children. this study aims to predict the best procedure associated with good gastric emptying time and gastric functions following anti reflux procedure when compared two procedures, Nissen fundoplication vs Hil snow fundoplication in multicenter pediatric surgery tertiary hospitals.
INCLUSION_CRITERIA:
all children with GERD above the age of 24 months until 18 years",Could a child with GERD between 2 and 18 years old qualify for this study?,"A child with GERD between 2 and 18 years old could qualify for this study, as the inclusion criteria specify all children with GERD above the age of 24 months until 18 years.","Yes, a child with GERD between 2 and 18 years old could qualify for this study as the inclusion criteria specify that all children with GERD above the age of 24 months until 18 years are eligible.","{'can_qualify': True, 'criteria': ['Age between 2 and 18 years old', 'Diagnosis of GERD']}",0.9428571428571428,0.2978723404255319,0.98390377,0.84573495,1.0,1.0,1.0,0.6,False,False
"TITLE: the Effect of the Laparoscopic Management of Gastro Esophageal Reflux on Gastric Emptying in Pediatric Age Group
SUMMARY: gastric functions especially gastric emptying is still debatable after anti reflux surgery in children. this study aims to predict the best procedure associated with good gastric emptying time and gastric functions following anti reflux procedure when compared two procedures, Nissen fundoplication vs Hil snow fundoplication in multicenter pediatric surgery tertiary hospitals.
INCLUSION_CRITERIA:
all children with GERD above the age of 24 months until 18 years",Are all participating hospitals required to be pediatric surgery tertiary hospitals?,"Yes, all participating hospitals are required to be pediatric surgery tertiary hospitals according to the summary.","Yes, all participating hospitals are required to be pediatric surgery tertiary hospitals.","Yes, all participating hospitals are required to be pediatric surgery tertiary hospitals.",0.8571428571428571,0.8571428571428571,0.9839282,0.9839282,1.0,1.0,1.0,1.0,False,False
"TITLE: the Effect of the Laparoscopic Management of Gastro Esophageal Reflux on Gastric Emptying in Pediatric Age Group
SUMMARY: gastric functions especially gastric emptying is still debatable after anti reflux surgery in children. this study aims to predict the best procedure associated with good gastric emptying time and gastric functions following anti reflux procedure when compared two procedures, Nissen fundoplication vs Hil snow fundoplication in multicenter pediatric surgery tertiary hospitals.
INCLUSION_CRITERIA:
all children with GERD above the age of 24 months until 18 years","I have a kid with acid reflux, will they be eligible for this trial?","The eligibility criteria for this trial require that the child must have GERD and be above the age of 24 months until 18 years. Therefore, a child with acid reflux who is between 2 and 18 years old would be eligible, but a child under 24 months would not.","Yes, a child with acid reflux above the age of 24 months until 18 years could be eligible for this trial.","{'can_qualify': True, 'criteria': ['Age above 24 months', 'Age below 18 years']}",0.3428571428571428,0.19672131147540983,0.9326698,0.8132613,1.0,1.0,1.0,1.0,False,False
"TITLE: YOUR CHILD'S DIGITAL IDENTITY IS SHAPED BY YOUR FINGERSTIPS: EFFECTIVENESS OF A DIGITAL FOOTPRINT EDUCATION PROGRAM FOR PARENTS
SUMMARY: In today's digitalized world, children conduct a significant portion of their learning experiences through online environments. However, a lack of digital awareness among parents can adversely affect both children's privacy and their educational development. To address this issue, this study aims to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing. Children, who are not yet capable of constructing their own digital identities, have their virtual personas shaped at an early age by their parents' online behavior. This unmonitored digital exposure can compromise a child's sense of privacy and negatively impact their self-development, self-esteem, and social identity formation. Prioritizing the best interests of the child, this project introduces a parent education program designed to empower families in digital literacy and establish an indirect protective framework throughout the educational process.
INCLUSION_CRITERIA:
Being the parent of a child enrolled in kindergarten,
The parent uses social media
The parent uses WhatsApp
The parent is literate
The parent can speak and understand Turkish",What is the main goal of this digital footprint education program for parents?,"The main goal of this digital footprint education program for parents is to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing.","The main goal of this digital footprint education program for parents is to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing.","The main goal of this digital footprint education program for parents is to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
"TITLE: YOUR CHILD'S DIGITAL IDENTITY IS SHAPED BY YOUR FINGERSTIPS: EFFECTIVENESS OF A DIGITAL FOOTPRINT EDUCATION PROGRAM FOR PARENTS
SUMMARY: In today's digitalized world, children conduct a significant portion of their learning experiences through online environments. However, a lack of digital awareness among parents can adversely affect both children's privacy and their educational development. To address this issue, this study aims to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing. Children, who are not yet capable of constructing their own digital identities, have their virtual personas shaped at an early age by their parents' online behavior. This unmonitored digital exposure can compromise a child's sense of privacy and negatively impact their self-development, self-esteem, and social identity formation. Prioritizing the best interests of the child, this project introduces a parent education program designed to empower families in digital literacy and establish an indirect protective framework throughout the educational process.
INCLUSION_CRITERIA:
Being the parent of a child enrolled in kindergarten,
The parent uses social media
The parent uses WhatsApp
The parent is literate
The parent can speak and understand Turkish",Could a parent who uses social media and WhatsApp qualify for this study?,"A parent who uses social media and WhatsApp can qualify for this study if they also meet the additional criteria of being literate and able to speak and understand Turkish, as well as being the parent of a child enrolled in kindergarten.","Yes, a parent who uses social media and WhatsApp could qualify for this study as these are explicitly stated inclusion criteria.","Yes, a parent who uses social media and WhatsApp could qualify for this study as long as they meet all other inclusion criteria, including being the parent of a child enrolled in kindergarten and being literate.",0.41269841269841273,0.6153846153846153,0.9054926,0.9518343,1.0,1.0,1.0,1.0,False,False
"TITLE: YOUR CHILD'S DIGITAL IDENTITY IS SHAPED BY YOUR FINGERSTIPS: EFFECTIVENESS OF A DIGITAL FOOTPRINT EDUCATION PROGRAM FOR PARENTS
SUMMARY: In today's digitalized world, children conduct a significant portion of their learning experiences through online environments. However, a lack of digital awareness among parents can adversely affect both children's privacy and their educational development. To address this issue, this study aims to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing. Children, who are not yet capable of constructing their own digital identities, have their virtual personas shaped at an early age by their parents' online behavior. This unmonitored digital exposure can compromise a child's sense of privacy and negatively impact their self-development, self-esteem, and social identity formation. Prioritizing the best interests of the child, this project introduces a parent education program designed to empower families in digital literacy and establish an indirect protective framework throughout the educational process.
INCLUSION_CRITERIA:
Being the parent of a child enrolled in kindergarten,
The parent uses social media
The parent uses WhatsApp
The parent is literate
The parent can speak and understand Turkish",Is there an age restriction for the children enrolled in this study?,There is no age restriction mentioned for the children enrolled in this study. The context only specifies that the children are enrolled in kindergarten.,There is no explicit age restriction mentioned for the children enrolled in this study.,There is no age restriction mentioned for the children enrolled in this study.,0.6842105263157894,0.7027027027027027,0.95050025,0.95425785,1.0,1.0,1.0,1.0,False,False
"TITLE: YOUR CHILD'S DIGITAL IDENTITY IS SHAPED BY YOUR FINGERSTIPS: EFFECTIVENESS OF A DIGITAL FOOTPRINT EDUCATION PROGRAM FOR PARENTS
SUMMARY: In today's digitalized world, children conduct a significant portion of their learning experiences through online environments. However, a lack of digital awareness among parents can adversely affect both children's privacy and their educational development. To address this issue, this study aims to support children's development within a conscious, safe, and ethical digital learning environment by educating parents on digital footprints, online safety, and responsible sharing. Children, who are not yet capable of constructing their own digital identities, have their virtual personas shaped at an early age by their parents' online behavior. This unmonitored digital exposure can compromise a child's sense of privacy and negatively impact their self-development, self-esteem, and social identity formation. Prioritizing the best interests of the child, this project introduces a parent education program designed to empower families in digital literacy and establish an indirect protective framework throughout the educational process.
INCLUSION_CRITERIA:
Being the parent of a child enrolled in kindergarten,
The parent uses social media
The parent uses WhatsApp
The parent is literate
The parent can speak and understand Turkish",How can I help my child stay safe online if I'm not tech-savvy?,"To help your child stay safe online if you're not tech-savvy, you can participate in the digital footprint education program designed for parents, which will provide you with the necessary knowledge and skills to support your child's online safety.","To help your child stay safe online if you're not tech-savvy, you can participate in the parent education program designed to empower families in digital literacy and establish an indirect protective framework throughout the educational process. This program aims to educate parents on digital footprints, online safety, and responsible sharing, which can help you better understand and manage your child's online activities.","To help your child stay safe online if you are not tech-savvy, you can participate in the parent education program offered by this study, which aims to educate parents on digital footprints, online safety, and responsible sharing.",0.5420560747663552,0.575,0.94032216,0.9514589,1.0,1.0,1.0,1.0,False,False
"TITLE: Upright Participation for Learners: Implementation of Flexible Use of roboT-assisted Walking in Schools
SUMMARY: Robot-assisted walking offers children who are unable to walk new avenues for participation in their communities in addition to health benefits. Disappointingly, most children cannot access this impactful technology. One of every 1000 children cannot walk due to cerebral palsy,1 and many others cannot walk due to less common neurodevelopmental disorders such as Spina Bifida or Rett Syndrome. The inability to walk impacts most areas of daily life. Despite this large need, there are few, if any, interventions available to facilitate participation and motor function.2-4 Recently, the study team have learned that robot-assisted walking can improve motor function and reduce the health impacts of physical inactivity that these children often experience. Robot assisted walking aids attach to a walker and use robotic legs to power a child's leg movements, allowing them to use their body in new ways from an upright position. When used in home and community settings, it also creates new avenues for participation in daily life that are critical for supporting cognitive, communication and social development. However, this technology is expensive and requires adult support, limiting access to families with adequate resources. The need exists to create equitable opportunities to access robot-assisted walking to improve multidimensional outcomes for children who cannot walk. Many innovative rehabilitation interventions do not cross the chasm from evidence to implementation. Knowing this risk, this program is strategically using implementation science methods to identify and study strategies to support implementation. Through previous studies, school settings have been identified as optimal for facilitating equitable access to robot-assisted walking to promote participation and function-based improvements. The research team conducted a study to identify barriers and facilitators to implementation in a school setting and have subsequently selected strategies to address the barriers and leverage the facilitators. Before confidently launching a planned multisite trial to examine implementation and effectiveness of robot-assisted walking in the school setting, the research team needs to pilot the implementation strategies within the planned study design. The proposed pilot study will optimize research methods to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.
INCLUSION_CRITERIA:
Enrolled at a participating study site.
Fit a robotic walking device.",What is the primary goal of this clinical trial regarding robot-assisted walking in schools?,The primary goal of this clinical trial is to pilot the implementation strategies within the planned study design to optimize research methods and ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.,The primary goal of this clinical trial is to pilot the implementation strategies within the planned study design to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.,The primary goal of this clinical trial is to pilot the implementation strategies within the planned study design to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.,0.951219512195122,0.951219512195122,0.98834324,0.98834324,1.0,1.0,1.0,1.0,False,False
"TITLE: Upright Participation for Learners: Implementation of Flexible Use of roboT-assisted Walking in Schools
SUMMARY: Robot-assisted walking offers children who are unable to walk new avenues for participation in their communities in addition to health benefits. Disappointingly, most children cannot access this impactful technology. One of every 1000 children cannot walk due to cerebral palsy,1 and many others cannot walk due to less common neurodevelopmental disorders such as Spina Bifida or Rett Syndrome. The inability to walk impacts most areas of daily life. Despite this large need, there are few, if any, interventions available to facilitate participation and motor function.2-4 Recently, the study team have learned that robot-assisted walking can improve motor function and reduce the health impacts of physical inactivity that these children often experience. Robot assisted walking aids attach to a walker and use robotic legs to power a child's leg movements, allowing them to use their body in new ways from an upright position. When used in home and community settings, it also creates new avenues for participation in daily life that are critical for supporting cognitive, communication and social development. However, this technology is expensive and requires adult support, limiting access to families with adequate resources. The need exists to create equitable opportunities to access robot-assisted walking to improve multidimensional outcomes for children who cannot walk. Many innovative rehabilitation interventions do not cross the chasm from evidence to implementation. Knowing this risk, this program is strategically using implementation science methods to identify and study strategies to support implementation. Through previous studies, school settings have been identified as optimal for facilitating equitable access to robot-assisted walking to promote participation and function-based improvements. The research team conducted a study to identify barriers and facilitators to implementation in a school setting and have subsequently selected strategies to address the barriers and leverage the facilitators. Before confidently launching a planned multisite trial to examine implementation and effectiveness of robot-assisted walking in the school setting, the research team needs to pilot the implementation strategies within the planned study design. The proposed pilot study will optimize research methods to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.
INCLUSION_CRITERIA:
Enrolled at a participating study site.
Fit a robotic walking device.",Could a child with cerebral palsy who cannot walk due to their condition qualify for this study?,A child with cerebral palsy who cannot walk due to their condition could qualify for this study as long as they are enrolled at a participating study site and fit a robotic walking device.,"Yes, a child with cerebral palsy who cannot walk due to their condition could qualify for this study as long as they are enrolled at a participating study site and can fit a robotic walking device.","{'can_qualify': True, 'criteria': ['Enrolled at a participating study site', 'Fit a robotic walking device']}",0.9714285714285714,0.489795918367347,0.987717,0.8520715,1.0,1.0,1.0,1.0,False,False
"TITLE: Upright Participation for Learners: Implementation of Flexible Use of roboT-assisted Walking in Schools
SUMMARY: Robot-assisted walking offers children who are unable to walk new avenues for participation in their communities in addition to health benefits. Disappointingly, most children cannot access this impactful technology. One of every 1000 children cannot walk due to cerebral palsy,1 and many others cannot walk due to less common neurodevelopmental disorders such as Spina Bifida or Rett Syndrome. The inability to walk impacts most areas of daily life. Despite this large need, there are few, if any, interventions available to facilitate participation and motor function.2-4 Recently, the study team have learned that robot-assisted walking can improve motor function and reduce the health impacts of physical inactivity that these children often experience. Robot assisted walking aids attach to a walker and use robotic legs to power a child's leg movements, allowing them to use their body in new ways from an upright position. When used in home and community settings, it also creates new avenues for participation in daily life that are critical for supporting cognitive, communication and social development. However, this technology is expensive and requires adult support, limiting access to families with adequate resources. The need exists to create equitable opportunities to access robot-assisted walking to improve multidimensional outcomes for children who cannot walk. Many innovative rehabilitation interventions do not cross the chasm from evidence to implementation. Knowing this risk, this program is strategically using implementation science methods to identify and study strategies to support implementation. Through previous studies, school settings have been identified as optimal for facilitating equitable access to robot-assisted walking to promote participation and function-based improvements. The research team conducted a study to identify barriers and facilitators to implementation in a school setting and have subsequently selected strategies to address the barriers and leverage the facilitators. Before confidently launching a planned multisite trial to examine implementation and effectiveness of robot-assisted walking in the school setting, the research team needs to pilot the implementation strategies within the planned study design. The proposed pilot study will optimize research methods to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.
INCLUSION_CRITERIA:
Enrolled at a participating study site.
Fit a robotic walking device.",Are participating study sites required to have specific resources or equipment to support the implementation of robot-assisted walking?,"Participating study sites are not explicitly required to have specific resources or equipment to support the implementation of robot-assisted walking, but the technology is expensive and requires adult support, which may limit access to families with adequate resources.","Participating study sites are not explicitly required to have specific resources or equipment to support the implementation of robot-assisted walking. The context mentions that the technology is expensive and requires adult support, but it does not specify that study sites must have specific resources or equipment.","Participating study sites are not explicitly required to have specific resources or equipment to support the implementation of robot-assisted walking; however, they must be able to provide the necessary adult support and have adequate resources to facilitate the use of the technology.",0.6976744186046512,0.6341463414634145,0.9456096,0.9443216,1.0,1.0,1.0,1.0,False,False
"TITLE: Upright Participation for Learners: Implementation of Flexible Use of roboT-assisted Walking in Schools
SUMMARY: Robot-assisted walking offers children who are unable to walk new avenues for participation in their communities in addition to health benefits. Disappointingly, most children cannot access this impactful technology. One of every 1000 children cannot walk due to cerebral palsy,1 and many others cannot walk due to less common neurodevelopmental disorders such as Spina Bifida or Rett Syndrome. The inability to walk impacts most areas of daily life. Despite this large need, there are few, if any, interventions available to facilitate participation and motor function.2-4 Recently, the study team have learned that robot-assisted walking can improve motor function and reduce the health impacts of physical inactivity that these children often experience. Robot assisted walking aids attach to a walker and use robotic legs to power a child's leg movements, allowing them to use their body in new ways from an upright position. When used in home and community settings, it also creates new avenues for participation in daily life that are critical for supporting cognitive, communication and social development. However, this technology is expensive and requires adult support, limiting access to families with adequate resources. The need exists to create equitable opportunities to access robot-assisted walking to improve multidimensional outcomes for children who cannot walk. Many innovative rehabilitation interventions do not cross the chasm from evidence to implementation. Knowing this risk, this program is strategically using implementation science methods to identify and study strategies to support implementation. Through previous studies, school settings have been identified as optimal for facilitating equitable access to robot-assisted walking to promote participation and function-based improvements. The research team conducted a study to identify barriers and facilitators to implementation in a school setting and have subsequently selected strategies to address the barriers and leverage the facilitators. Before confidently launching a planned multisite trial to examine implementation and effectiveness of robot-assisted walking in the school setting, the research team needs to pilot the implementation strategies within the planned study design. The proposed pilot study will optimize research methods to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking.
INCLUSION_CRITERIA:
Enrolled at a participating study site.
Fit a robotic walking device.",How can my child with a neurodevelopmental disorder access robot-assisted walking technology in their school?,"Children with neurodevelopmental disorders such as cerebral palsy, Spina Bifida, or Rett Syndrome could potentially access robot-assisted walking technology in their school through this study if they are enrolled at a participating study site and fit a robotic walking device. However, the availability of this technology may be limited by the resources and support available to the school.","{'access': 'The proposed pilot study will optimize research methods to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking. However, the specific details on how a child with a neurodevelopmental disorder can access robot-assisted walking technology in their school are not provided in the context.'}","The proposed pilot study aims to optimize research methods to ensure a future multisite trial provides the necessary evidence for sustainable school implementation and equitable access to robot-assisted walking. However, the context does not provide specific details on how a child with a neurodevelopmental disorder can access robot-assisted walking technology in their school.",0.22413793103448273,0.19298245614035087,0.87985116,0.8889697,1.0,1.0,1.0,1.0,False,False
"TITLE: The Effect of Vibration and ShotBlocker on Pain and Fear Levels During Intramuscular Injection in Children in the Emergency Department: A Randomized Controlled Trial
SUMMARY: This prospective study is planned as a randomized controlled study. The aim of this study is to investigate the effects of vibration and the ShotBlocker method on pain and fear levels in children during intramuscular injection in the emergency department.
INCLUSION_CRITERIA:
Volunteering of the child and parent to participate in the study,
Children the ages between 5-10,
Having intramuscular (IM) injection.",What is the primary goal of this clinical trial regarding pain and fear levels in children during intramuscular injections?,The primary goal of this clinical trial is to investigate the effects of vibration and the ShotBlocker method on pain and fear levels in children during intramuscular injection in the emergency department.,The primary goal of this clinical trial is to investigate the effects of vibration and the ShotBlocker method on pain and fear levels in children during intramuscular injection in the emergency department.,The primary goal of this clinical trial is to investigate the effects of vibration and the ShotBlocker method on pain and fear levels in children during intramuscular injection in the emergency department.,1.0,1.0,0.9999999,0.9999999,1.0,1.0,1.0,1.0,False,False
"TITLE: The Effect of Vibration and ShotBlocker on Pain and Fear Levels During Intramuscular Injection in Children in the Emergency Department: A Randomized Controlled Trial
SUMMARY: This prospective study is planned as a randomized controlled study. The aim of this study is to investigate the effects of vibration and the ShotBlocker method on pain and fear levels in children during intramuscular injection in the emergency department.
INCLUSION_CRITERIA:
Volunteering of the child and parent to participate in the study,
Children the ages between 5-10,
Having intramuscular (IM) injection.",Could a child aged 7 with an IM injection requirement participate in this study?,"Yes, a child aged 7 with an IM injection requirement could participate in this study as they fall within the age range of 5-10 years old and meet the inclusion criterion of having an IM injection.","Yes, a child aged 7 with an IM injection requirement could participate in this study as the inclusion criteria specify that children aged 5-10 are eligible.","Yes, a child aged 7 with an IM injection requirement could participate in this study as the inclusion criteria specify that children aged between 5-10 years old are eligible.",0.625,0.6567164179104478,0.9372638,0.944087,0.75,0.6,0.8,1.0,True,True
"TITLE: The Effect of Vibration and ShotBlocker on Pain and Fear Levels During Intramuscular Injection in Children in the Emergency Department: A Randomized Controlled Trial
SUMMARY: This prospective study is planned as a randomized controlled study. The aim of this study is to investigate the effects of vibration and the ShotBlocker method on pain and fear levels in children during intramuscular injection in the emergency department.
INCLUSION_CRITERIA:
Volunteering of the child and parent to participate in the study,
Children the ages between 5-10,
Having intramuscular (IM) injection.",Is this clinical trial limited to emergency departments only?,This clinical trial is limited to emergency departments only.,This clinical trial is not limited to emergency departments only; it can be conducted in any setting where intramuscular injections are administered.,This clinical trial is not limited to emergency departments only; it can be conducted in any setting where intramuscular injections are administered.,0.5806451612903226,0.5806451612903226,0.9229917,0.9229917,1.0,1.0,1.0,1.0,False,False
"TITLE: The Effect of Using Distraction Card and Squeezing Emotion-Regulation Toy on Pain and Pain-Related Fear During Intramuscular Vaccination in Children Aged 4-7 Years: A Single-Center, Parallel-Group, Randomized Experimental Study
SUMMARY: This single-center, parallel-group, randomized experimental study will compare the effects of two active non-pharmacological interventions - distraction-card use and emotion-regulation toy squeezing - on procedural pain and pain-related fear during intramuscular tetanus vaccination in children aged 4-7 years. Eligible children will be randomized to either the distraction-card group or the emotion-regulation toy-squeezing group. Pain will be assessed using the Wong-Baker FACES Pain Rating Scale, and pain-related fear will be assessed using the Children's Fear Scale before, during, and after the intramuscular injection procedure.
Hypotheses
H1a: There is a difference between the groups in mean Wong-Baker FACES scores during the procedure.
H1b: There is a difference between the groups in mean Children's Fear Scale scores during the procedure.
INCLUSION_CRITERIA:
Child aged 4-7 years
Child with need or plan for intramuscular vaccination",What are the two non-pharmacological interventions being compared in this study?,The two non-pharmacological interventions being compared in this study are distraction-card use and emotion-regulation toy squeezing.,The two non-pharmacological interventions being compared in this study are distraction-card use and emotion-regulation toy squeezing.,The two non-pharmacological interventions being compared in this study are distraction-card use and emotion-regulation toy squeezing.,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0,False,False
"TITLE: The Effect of Using Distraction Card and Squeezing Emotion-Regulation Toy on Pain and Pain-Related Fear During Intramuscular Vaccination in Children Aged 4-7 Years: A Single-Center, Parallel-Group, Randomized Experimental Study
SUMMARY: This single-center, parallel-group, randomized experimental study will compare the effects of two active non-pharmacological interventions - distraction-card use and emotion-regulation toy squeezing - on procedural pain and pain-related fear during intramuscular tetanus vaccination in children aged 4-7 years. Eligible children will be randomized to either the distraction-card group or the emotion-regulation toy-squeezing group. Pain will be assessed using the Wong-Baker FACES Pain Rating Scale, and pain-related fear will be assessed using the Children's Fear Scale before, during, and after the intramuscular injection procedure.
Hypotheses
H1a: There is a difference between the groups in mean Wong-Baker FACES scores during the procedure.
H1b: There is a difference between the groups in mean Children's Fear Scale scores during the procedure.
INCLUSION_CRITERIA:
Child aged 4-7 years
Child with need or plan for intramuscular vaccination",Could a child aged 5 who needs an intramuscular tetanus vaccination qualify for this trial?,"A child aged 5 who needs an intramuscular tetanus vaccination could qualify for this trial, as the inclusion criteria state that children aged 4-7 years with a need or plan for intramuscular vaccination are eligible.","Yes, a child aged 5 who needs an intramuscular tetanus vaccination could qualify for this trial as long as they meet the inclusion criteria of being aged 4-7 years and having a need or plan for intramuscular vaccination.","Yes, a child aged 5 who needs an intramuscular tetanus vaccination could qualify for this trial as long as they meet the inclusion criteria of being aged 4-7 years and having a need or plan for intramuscular vaccination.",0.8,0.8,0.96336627,0.96336627,0.8,0.8,1.0,1.0,True,True
"TITLE: The Effect of Using Distraction Card and Squeezing Emotion-Regulation Toy on Pain and Pain-Related Fear During Intramuscular Vaccination in Children Aged 4-7 Years: A Single-Center, Parallel-Group, Randomized Experimental Study
SUMMARY: This single-center, parallel-group, randomized experimental study will compare the effects of two active non-pharmacological interventions - distraction-card use and emotion-regulation toy squeezing - on procedural pain and pain-related fear during intramuscular tetanus vaccination in children aged 4-7 years. Eligible children will be randomized to either the distraction-card group or the emotion-regulation toy-squeezing group. Pain will be assessed using the Wong-Baker FACES Pain Rating Scale, and pain-related fear will be assessed using the Children's Fear Scale before, during, and after the intramuscular injection procedure.
Hypotheses
H1a: There is a difference between the groups in mean Wong-Baker FACES scores during the procedure.
H1b: There is a difference between the groups in mean Children's Fear Scale scores during the procedure.
INCLUSION_CRITERIA:
Child aged 4-7 years
Child with need or plan for intramuscular vaccination",Is this clinical trial only open to children from a specific location or institution?,"This clinical trial is not specified to be only open to children from a specific location or institution; it is described as a single-center study, meaning it is conducted at one center, but it does not restrict participation based on the child's location.","This clinical trial is only open to children from a specific location or institution, as it is described as a single-center study.","This clinical trial is only open to children from a specific location or institution, as it is described as a single-center study.",0.6470588235294117,0.6470588235294117,0.94318056,0.9431805,1.0,1.0,1.0,1.0,False,False
"TITLE: The Effect of Using Distraction Card and Squeezing Emotion-Regulation Toy on Pain and Pain-Related Fear During Intramuscular Vaccination in Children Aged 4-7 Years: A Single-Center, Parallel-Group, Randomized Experimental Study
SUMMARY: This single-center, parallel-group, randomized experimental study will compare the effects of two active non-pharmacological interventions - distraction-card use and emotion-regulation toy squeezing - on procedural pain and pain-related fear during intramuscular tetanus vaccination in children aged 4-7 years. Eligible children will be randomized to either the distraction-card group or the emotion-regulation toy-squeezing group. Pain will be assessed using the Wong-Baker FACES Pain Rating Scale, and pain-related fear will be assessed using the Children's Fear Scale before, during, and after the intramuscular injection procedure.
Hypotheses
H1a: There is a difference between the groups in mean Wong-Baker FACES scores during the procedure.
H1b: There is a difference between the groups in mean Children's Fear Scale scores during the procedure.
INCLUSION_CRITERIA:
Child aged 4-7 years
Child with need or plan for intramuscular vaccination",Will using a special card help my child feel less pain when they get their shots?,"Using a special card (distraction-card use) may help your child feel less pain when they get their shots, according to the hypotheses of the study which suggest that there could be a difference in mean Wong-Baker FACES scores between the groups during the procedure.","Using a special card may help your child feel less pain when they get their shots, as the study aims to compare the effects of distraction-card use on procedural pain.","The study aims to compare the effects of distraction-card use and emotion-regulation toy squeezing on pain and pain-related fear during intramuscular vaccination. While the context does not explicitly state that using a special card will definitely help your child feel less pain, the study suggests that these interventions may have a positive effect on reducing pain and fear.",0.5194805194805194,0.28037383177570097,0.92261,0.8798879,1.0,1.0,1.0,1.0,False,False
"TITLE: The Effect of Piaget-Based Nutrition Education on Food Consumption, Nutrition, and Eating Behaviors in Preschool Children: A Mixed Methods Study
SUMMARY: This study examined whether a nutrition education program based on Piaget's theory of cognitive development could improve preschool children's eating habits and food choices. Children attending preschools connected to the Provincial Directorate of National Education, along with their mothers, took part in the study. Some children received six sessions of nutrition education designed according to how young children think and learn (Piaget's theory), while other children did not receive this education and served as a comparison group. Before and after the program, researchers measured children's food consumption, nutrition-related behaviors, and eating behaviors using questionnaires completed by mothers. After the program ended, researchers also talked with a smaller group of mothers in more detail to better understand their experiences and observations. The results showed that children who received the nutrition education improved their food consumption and nutrition-related behaviors. However, the program did not appear to change children's general eating behaviors, such as picky eating or appetite. Mothers' descriptions of their children's experiences helped explain these findings in more depth. These results suggest that nutrition education based on how young children think and learn can help improve what children eat, but changing broader eating behaviors may require additional strategies that also address psychological, cultural, and social factors.
INCLUSION_CRITERIA: for the sample:
Mothers of children aged 3-6 attending kindergartens affiliated with the Provincial Directorate of National Education
Mothers whose children do not have any health problems affecting their nutritional status
Mothers aged 18 and above
Mothers who are at least literate.
The",What is the main goal of this clinical trial regarding nutrition education in preschool children?,The main goal of this clinical trial is to examine whether a nutrition education program based on Piaget's theory of cognitive development can improve preschool children's eating habits and food choices.,The main goal of this clinical trial is to examine whether a nutrition education program based on Piaget's theory of cognitive development can improve preschool children's eating habits and food choices.,The main goal of this clinical trial is to examine whether a nutrition education program based on Piaget's theory of cognitive development can improve preschool children's eating habits and food choices.,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0,False,False
